Initial.Name,District,Party,HB1,HB10,HB100,HB101,HB108,HB11,HB111,HB114,HB116,HB120,HB122,HB124,HB128,HB130,HB132,HB133,HB136,HB138,HB140,HB141,HB142,HB146,HB147,HB148,HB150,HB153,HB157,HB158,HB161,HB162,HB164,HB167,HB168,HB169,HB172,HB176,HB177,HB185,HB187,HB190,HB191,HB193,HB198,HB2,HB200,HB201,HB202,HB203,HB204,HB207,HB21,HB213,HB214,HB218,HB22,HB220,HB223,HB227,HB241,HB244,HB246,HB251,HB252,HB259,HB260,HB261,HB263,HB264,HB265,HB266,HB270,HB273,HB274,HB275,HB277,HB278,HB279,HB281,HB289,HB290,HB291,HB3,HB30,HB300,HB302,HB305,HB306,HB307,HB310,HB314,HB315,HB319,HB323,HB324,HB327,HB328,HB329,HB33,HB334,HB343,HB345,HB348,HB353,HB355,HB356,HB360,HB362,HB363,HB366,HB367,HB368,HB369,HB370,HB372,HB373,HB380,HB381,HB385,HB388,HB394,HB398,HB4,HB40,HB400,HB402,HB424,HB425,HB427,HB428,HB429,HB430,HB431,HB434,HB437,HB443,HB444,HB454,HB457,HB458,HB46,HB463,HB464,HB465,HB475,HB476,HB477,HB487,HB49,HB497,HB5,HB512,HB513,HB517,HB52,HB527,HB528,HB529,HB530,HB537,HB55,HB555,HB557,HB575,HB586,HB590,HB592,HB6,HB601,HB604,HB606,HB64,HB68,HB69,HB70,HB71,HB74,HB75,HB77,HB81,HB84,HB9,HB92,HB93,HB95,HB96,HB97,HC34,HC7,HR103,HR108,HR123,HR126,HR134,HR155,HR2,HR204,HR206,HR229,HR236,HR245,HR25,HR251,HR252,HR26,HR27,HR279,HR292,HR295,HR296,HR306,HR307,HR308,HR309,HR311,HR312,HR315,HR316,HR318,HR319,HR320,HR321,HR322,HR325,HR326,HR327,HR328,HR329,HR37,HR40,HR44,HR45,HR51,HR53,HR56,HR69,HR73,HR76,HR80,HR90,HR95,HR96,HR99,SB101,SB104,SB106,SB108,SB109,SB110,SB112,SB116,SB119,SB122,SB123,SB126,SB129,SB130,SB131,SB132,SB133,SB137,SB138,SB139,SB140,SB142,SB144,SB150,SB151,SB152,SB160,SB181,SB182,SB19,SB197,SB200,SB201,SB202,SB203,SB204,SB210,SB211,SB228,SB249,SB250,SB3,SB30,SB37,SB48,SB5,SB56,SB57,SB6,SB61,SB68,SB7,SB70,SB71,SB73,SB78,SB86,SB88,SB91,SB96,SB97,SB98
R. Benvenuti,H88,Republican,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,NV,NV,YEA,YEA,NV,NV,NV,YEA,NV,NV,NV,YEA,NV,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,NV,NV,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,NV,YEA,NV,YEA,NV,YEA,YEA,YEA,YEA,YEA,NV,NV,NV,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,NV,NV,YEA,NV,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,NV,NV,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,NV,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,NV,YEA
R. Bunch,H82,Republican,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,NAY,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,NAY,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NV,YEA,YEA,YEA,NV,NV,YEA,YEA,YEA,YEA,NV,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA
R. Goforth,H81,Republican,YEA,NA,YEA,YEA,NA,YEA,YEA,YEA,NA,YEA,YEA,YEA,YEA,NA,YEA,NA,NA,NA,YEA,NA,NA,NA,YEA,YEA,NA,YEA,NA,NA,NA,NA,NAY,YEA,NA,YEA,NA,NA,YEA,YEA,YEA,NA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NA,NA,NA,YEA,NA,NA,NAY,YEA,NA,YEA,NA,YEA,NA,NA,NA,NA,NA,YEA,NA,NA,NA,NA,YEA,YEA,NA,NA,NA,NA,NA,NA,YEA,YEA,NA,NAY,YEA,YEA,NA,NA,NA,YEA,NA,YEA,YEA,NAY,YEA,NA,YEA,YEA,NA,YEA,NAY,YEA,YEA,YEA,NA,YEA,YEA,YEA,YEA,NA,NA,YEA,YEA,YEA,NA,NA,YEA,NAY,YEA,NA,NA,YEA,YEA,NA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NA,YEA,NA,YEA,YEA,YEA,NA,YEA,YEA,YEA,YEA,YEA,NA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NA,NA,YEA,NA,YEA,NA,YEA,NA,YEA,NA,YEA,NA,YEA,YEA,YEA,YEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YEA,YEA,YEA,NA,YEA,YEA,NA,NA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NA,YEA,YEA,YEA,YEA,NA,YEA,YEA,YEA,YEA,YEA,NA,YEA,YEA,NAY,YEA,YEA,NA,YEA,YEA,YEA
R. Heath,H2,Republican,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
R. Meeks,H42,Democratic,YEA,NAY,NAY,YEA,YEA,NV,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,NAY,NAY,YEA,YEA,NAY,NAY,NAY,YEA,YEA,YEA,YEA,YEA,NV,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NV,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NV,NAY,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,NAY,NAY,NAY,YEA,YEA,NAY,NAY,NAY,YEA,YEA,NV,YEA,YEA,NAY,YEA,YEA,NAY,NAY,NAY,YEA,NAY,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,NV,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA,NV,NAY,YEA,NV,YEA,NAY,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NV,YEA,YEA,YEA,NV,YEA,NAY,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NV,YEA,YEA,NV,YEA,YEA,YEA,NV,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,NV,YEA,NV,NV,YEA,NV,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,NV,YEA,NV,YEA,NV,NV,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,NAY,NAY,YEA,NAY,YEA,YEA,NAY,YEA
R. Meyer,H39,Democratic,YEA,NAY,NV,YEA,YEA,NV,NV,NV,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,NAY,NV,NV,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NV,NAY,YEA,NAY,NV,YEA,YEA,YEA,NV,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NV,YEA,YEA,NV,YEA,NV,NAY,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,NV,YEA,NV,NV,YEA,YEA,NAY,NAY,NAY,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,NAY,NV,NV,YEA,YEA,YEA,NAY,NAY,YEA,NV,YEA,NAY,NV,YEA,YEA,NV,NAY,NV,YEA,YEA,NV,NV,YEA,YEA,YEA,YEA,NAY,YEA,NV,YEA,NAY,NV,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,NV,YEA,YEA,NV,YEA,NAY,YEA,YEA,NV,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,NV,YEA,NV,YEA,YEA,NV,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,NAY,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NV,YEA,NAY,NV,YEA,YEA,YEA,YEA,NV
R. Mills,H11,Republican,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
R. Nelson,H87,Democratic,YEA,YEA,NV,YEA,NV,YEA,NV,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,NV,NV,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,NV,NV,NV,YEA,NV,YEA,NV,NV,YEA,NV,NAY,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,NAY,NV,NAY,NV,YEA,NV,YEA,NAY,NAY,YEA,YEA,NV,YEA,YEA,NV,YEA,YEA,YEA,NV,NV,NV,YEA,NV,YEA,NV,YEA,YEA,NV,YEA,NAY,NV,YEA,YEA,NV,YEA,YEA,NV,YEA,YEA,NV,NV,YEA,NV,NV,YEA,NV,NAY,YEA,NAY,YEA,NV,YEA,NV,NAY,NV,YEA,YEA,YEA,NV,YEA,YEA,YEA,NAY,NAY,YEA,NV,NV,YEA,NAY,NV,YEA,NV,NV,YEA,YEA,YEA,YEA,YEA,NV,NV,NAY,YEA,NV,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NV,NAY,NV,NV,YEA,NV,NV,YEA,YEA,YEA,YEA,NAY,YEA,NV,YEA,NV,YEA,YEA,NV,NAY,YEA,YEA,YEA,YEA,YEA,NV,NV,NAY,NAY,YEA,YEA,YEA,YEA,NAY,NV,NV,YEA,YEA,NV,NV,NV,NV,NV,NV,NAY,NV,NV,YEA,NV,YEA,NV,YEA,YEA,YEA,YEA,NV,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,NV,NV,YEA,NV,NV,NV,YEA,NV,NV,NV,NV,NV,YEA,NV,YEA,NV,YEA,YEA,NV,YEA,NV,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NV,NV,NAY,NV,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,NV,NV,NV,YEA,NV,NV,YEA,YEA,YEA,YEA,NV,YEA,NV,NV,NV,YEA,NV,YEA,YEA,NV
R. Palumbo,H76,Democratic,YEA,NAY,NAY,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,NAY,NAY,NAY,YEA,YEA,NV,YEA,NV,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NV,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NV,NV,NV,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA,NAY,NV,YEA,YEA,YEA,NAY,YEA,YEA,NV,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA
R. Rand,H47,Democratic,YEA,NAY,NAY,YEA,NV,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,NAY,NAY,NAY,YEA,YEA,NV,YEA,YEA,YEA,NV,YEA,NAY,YEA,NAY,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NV,YEA,NV,NV,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,NAY,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NV,YEA,NV,NV,NV,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,NV,NV,YEA,NV,NV,NAY,NV,NV,YEA,NV,YEA,NV,YEA,YEA,NV,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,NV,NV,YEA,NV,NV,NV,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NV,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,NAY,NV,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,NV,YEA,YEA,YEA
